shakespeare,modern
"The beds i' th' East are soft , and thanks to you , That called me timelier than my purpose hither , For I have gained by 't .",The East is very seductive .
"Well , I know not What counts harsh Fortune casts upon my face , But in my bosom shall she never come To make my heart her vassal .","Well , I can not tell how my difficult life has weathered my face , but I will never let those difficulties subdue my courage ."
Well met here .,It's good we had this meeting .
"I hope so , Lepidus .","I hope it works out for the best , Lepidus ."
Thus we are agreed .,So we are in agreement .
That's the next to do .,That's the next thing on the agenda .
"We'll feast each other ere we part , and let's Draw lots who shall begin .",We'll have celebration feasts for each other before we go our separate ways .
"That will I , Pompey .","I'll give the first one , Pompey ."
"No , Antony , take the lot .","No , Antony ."
"But , first or last , Your fine Egyptian cookery shall have The fame .","Whether your banquet is first or last , your Egyptian cooking will make it the best ."
I have heard that Julius Caesar Grew fat with feasting there .,I heard that Julius Caesar got fat from all the feasting there .
You have heard much .,You've heard a lot .
"I have fair meanings , sir .","I mean well , sir ."
And fair words to them .,I'm sure you do .
Then so much have I heard .,I've heard a lot more .
"And I have heard Apollodorus carried , What , I pray you ?","I heard that Apollodorus carried , What did he carry , please ?"
"How far'st thou , soldier ?","How are you , soldier ?"
"Well , And well am like to do , for I perceive , Four feasts are toward .","I'm well , and probably will be for a while , as I hear that four feasts are being prepared ."
Let me shake thy hand .,Let me shake your hand .
I never hated thee .,I've never been your enemy .
I have seen thee fight When I have envied thy behavior .,I've seen you fight and envied your skill .
"Sir , I never loved you much , but I ha' praised ye When you have well deserved ten times as much As I have said you did .","Sir , I wouldn't say I was your friend , but I've praised you when you deserved ten times more praise than I gave ."
Enjoy thy plainness .,Enjoy your frankness ; it suits you .
"It nothing ill becomes thee. , Aboard my galley I invite you all .",I invite you all aboard my ship .
"Will you lead , lords ?","After you , my lords ?"
"Show 's the way , sir .","Show us the way , sir ."
Come .,Come with me .
"At sea , I think .",I think it was at sea .
"We have , sir .","That it was , sir ."
You have done well by water .,You've done well at sea .
And you by land .,And you've done well on land .
"I will praise any man that will praise me , though it can not be denied what I have done by land .","I'll flatter anyone who flatters me , though what I've accomplished on land can not be denied ."
Nor what I have done by water .,Neither can my accomplishments at sea .
"Yes , something you can deny for your own safety : you have been a great thief by sea .","Yes , for your own safety , you should deny one thing : you have been a great thief at sea ."
And you by land .,As you were on land .
There I deny my land service .,That's the one part of my service on land I do deny .
"But give me your hand , Menas .","But let's shake hands , Menas ."
"If our eyes had authority , here they might take two thieves kissing .","If our eyes were policemen , they might capture two thieves at once while we're embracing ."
"All men's faces are true , whatsome'er their hands are .","Men's faces are truthful , whatever their hands do ."
But there is never a fair woman has a true face .,But no beautiful woman has an honest face .
No slander .,That's no lie .
They steal hearts .,They steal hearts .
We came hither to fight with you .,We came here to fight against you .
"For my part , I am sorry it is turned to a drinking .","For my part , I'm sorry this battle turned into a drinking match ."
Pompey doth this day laugh away his fortune .,Today Pompey laughs away his fortune .
"If he do , sure he can not weep 't back again .","If that's true , he won't get it back by crying ."
"You've said , sir .","That's the truth , sir ."
We looked not for Mark Antony here .,We didn't expect Mark Antony to be here .
"Pray you , is he married to Cleopatra ?",Is he married to Cleopatra ?
Caesar's sister is called Octavia .,Caesar's sister is named Octavia .
"True , sir .","That's true , sir ."
She was the wife of Caius Marcellus .,She was previously Caius Marcellus' wife .
But she is now the wife of Marcus Antonius .,But she is now Mark Antony's wife .
"Pray ye , sir ?","Excuse me , sir ?"
Tis true .,It's true .
Then is Caesar and he forever knit together .,Then Caesar and he will always be united .
"If I were bound to divine of this unity , I would not prophesy so .","If I were to make a prediction regarding this union , I wouldn't say that ."
I think the policy of that purpose made more in the marriage than the love of the parties .,I think the marriage was made more for political reasons than for love .
I think so too .,I think so too .
But you shall find the band that seems to tie their friendship together will be the very strangler of their amity .,But you'll see that the very thing that joins them will be the thing that separates them .
"Octavia is of a holy , cold , and still conversation .","Octavia has a pious , chaste , meek disposition ."
Who would not have his wife so ?,Doesn't everyone want a wife like that ?
"Not he that himself is not so , which is Mark Antony .","Not someone who doesn't share that disposition , meaning Mark Antony ."
He will to his Egyptian dish again .,He'll go back to his Egyptian dish .
"Then shall the sighs of Octavia blow the fire up in Caesar , and , as I said before , that which is the strength of their amity shall prove the immediate author of their variance .","Then Octavia's complaints will rouse Caesar , and as I said before , the thing that brought them together will part them ."
Antony will use his affection where it is .,Antony will go where his passion is .
He married but his occasion here .,He only married out of political necessity .
And thus it may be .,Then that's the way it may turn out .
"Come , sir , will you aboard ?","Come on , sir , will you come aboard ?"
I have a health for you .,I want to drink your health .
"I shall take it , sir .","I'll join you , sir ."
We have used our throats in Egypt .,We did a lot of drinking in Egypt .
"Come , let's away .",Let's go .
"Here they'll be , man .","Here's where they'll end up , on the floor ."
Some o' their plants are ill-rooted already .,Some of them are leaning already .
Lepidus is high-colored .,Lepidus is red in the face .
They have made him drink alms-drink .,They made him drink the leftover wine usually given to the poor .
I had as lief have a reed that will do me no service as a partisan I could not heave .,I'd rather carry a reed that obviously can't protect me than a sword I can not lift .
"Thus do they , sir : they take the flow o' th' Nile By certain scales i' th' Pyramid .","This is how they do it , sir : they measure the depth of the Nile , according to certain marks made on the walls of the Pyramid ."
"They know By th' height , the lowness , or the mean , if dearth Or foison follow .",They know by those measurements if there will be famine or plenty .
The higher Nilus swells The more it promises .,"The higher the Nile flows , the better the harvest ."
"As it ebbs , the seedsman Upon the slime and ooze scatters his grain , And shortly comes to harvest .",The harvest comes shortly after that .
You've strange serpents there ?,Do you have unusual snakes there ?
"Ay , Lepidus .","Yes , Lepidus ."
Your serpent of Egypt is bred now of your mud by the operation of your sun .,"The Egyptian snake is born when the sun shines on the Nile mud , just like the crocodile ."
"I am not so well as I should be , but I'll ne'er out .","I don't feel so well , but I won't stop ."
Not till you have slept .,Not until you pass out .
I fear me you'll be in till then .,I'm afraid you'll keep going until then .
"Nay , certainly , I have heard the Ptolemies' pyramises are very goodly things .",I've heard that the pyramids build by the Ptolemies are splendid .
Without contradiction I have heard that .,Without doubt I've heard that .
What manner o' thing is your crocodile ?,What does a crocodile look like ?
"It is shaped , sir , like itself , and it is as broad as it hath breadth .","Sir , it's shaped like itself and is as wide as it has width ."
"It is just so high as it is , and moves with its own organs .",It is only as high as it is and moves with its own legs .
Of it own color too .,Its own color .
Tis a strange serpent .,It's a strange snake .
Tis so .,It is that .
And the tears of it are wet .,And its tears are wet .
The matter ?,What is it ?
I have ever held my cap off to thy fortunes .,I've always had great respect for your destiny .
Thou hast served me with much faith .,You've served me faithfully .
"What's else to say ? , These quicksands , Lepidus , Keep off them , for you sink .",What else can I say ?
What sayst thou ?,What are you saying ?
Wilt thou be lord of the whole world ?,Would you like to be king of the entire world ?
That's twice .,Now I've said it twice .
How should that be ?,How could that happen ?
"Nay , hear him .",Just listen to him .
"Good now , some excellent fortune !",Be kind now and tell me some excellent fortune .
Let me be married to three kings in a forenoon and widow them all .,Tell me that I'll marry three kings before noon and be widowed by all of them .
"Oh , excellent !","Oh , excellent !"
Then belike my children shall have no names .,Then my children will probably be illegitimate .
"Prithee , how many boys and wenches must I have ?","Tell me , please : how many boys and girls will I have ?"
"If every of your wishes had a womb , And fertile every wish , a million .","If every time you wished for a child you could have had one , you would have a million children ."
You think none but your sheets are privy to your wishes .,You seem to think no one outside of your bedroom knows what you wish .
We'll know all our fortunes .,We'll all want our fortune told .
"Mine , and most of our fortunes tonight , shall be , drunk to bed .","My fortune , like that of many of us tonight , is to go drunk to bed ."
Hast thou drunk well ?,Are you drunk ?
"No , Pompey , I have kept me from the cup .","No , Pompey , I haven't had anything to drink ."
Show me which way .,Tell me how .
"These three world-sharers , these competitors , Are in thy vessel .",The three who share the known world are aboard your boat .
All there is thine .,Everything that belongs to them is yours .
"Ah , this thou shouldst have done And not have spoke on 't !","Oh , you should have done it without telling me !"
"In me 'tis villainy , In thee 't had been good service .",For you to do it would be good service .
"Thou must know , 'Tis not my profit that does lead mine honor ; Mine honor , it .","You should know that to me , profit isn't more important than honor , but the other way around ."
Repent that e'er thy tongue Hath so betrayed thine act .,Regret that your mouth betrayed your actions .
"Being done unknown , I should have found it afterwards well done , But must condemn it now .",But now I must condemn it .
"Desist , and drink .",Give it up and go drink .
This health to Lepidus !,This toast is for Lepidus !
"Here's to thee , Menas !","Here's to you , Menas ."
"Enobarbus , welcome .","I accept with thanks , Enobarbus ."
"There's a strong fellow , Menas .","There goes a strong fellow , Menas ."
Why ?,Why do you say that ?
"He bears The third part of the world , man .",He carries a third of the world .
Seest not ?,Can't you see that ?
"The third part , then , is drunk .",Then a third of the world is drunk .
Drink thou .,Drink up .
Come .,"All right , then ."
This is not yet an Alexandrian feast .,This hasn't reached the level of an Egyptian feast yet .
It ripens towards it .,It's getting there .
"Strike the vessels , ho !",Clink your cups together in a toast !
Here's to Caesar .,Here's to Caesar .
I could well forbear 't .,I could do without another toast .
Be a child o' th' time .,Live in the moment .
But I had rather fast from all four days Than drink so much in one .,But I would rather abstain from everything for four days than drink so much in one .
"Let's ha 't , good soldier .","Let's have one , good soldier ."
"Come , let's all take hands Till that the conquering wine hath steeped our sense In soft and delicate Lethe .","Come , let's join our hands until the overpowering wine makes us soft and forgetful ."
All take hands .,Everyone join hands .
What needs more words ?,How can you top that ?
Good night .,"Good night , Pompey ."
"And shall , sir .","Yes , we will ."
Give 's your hand .,Let's shake on it .
We are friends .,We're friends !
"Come , down into the boat .","Come , this way to the rowboat ."
Take heed you fall not .,Be careful not to fall in .
"Menas , I'll not on shore .","Menas , I'm not going back on shore ."
"No , to my cabin .","No , come to my cabin ."
What !,What do you say ?
There's my cap .,There's my hat !
Hoo !,Hooray !
"Noble captain , come .","Come on , noble captain ."
"Now , darting Parthia , art thou struck , and now Pleased fortune does of Marcus Crassus' death Make me revenger .","Now I've paid you back , Parthia , and gotten revenge for Marcus Crassus' death ."
"For learn this , Silius : Better to leave undone than by our deed Acquire too high a fame when him we serve's away .","You must understand , Silius , that it's better to leave something undone than achieve too much fame in your superior's absence ."
Caesar and Antony have ever won More in their officer than person .,Caesar and Antony have always achieved more by delegating authority to their officers than by leading their troops in person .
"Who does i' th' wars more than his captain can Becomes his captain's captain ; and ambition , The soldier's virtue , rather makes choice of loss Than gain which darkens him .",A man who achieves more in war than his captain does becomes his captain's rival .
"I could do more to do Antonius good , But 'twould offend him , and in his offense Should my performance perish .","I could do more to help Antony , but to do so would insult him ."
"Thou hast , Ventidius , that Without the which a soldier and his sword Grants scarce distinction .","A soldier is just a tool , like his sword , unless he has your qualities , Ventidius ."
Thou wilt write to Antony ?,Are you going to write Antony about this ?
"I'll humbly signify what in his name , That magical word of war , we have effected : How with his banners and his well-paid ranks The ne'er-yet-beaten horse of Parthia We have jaded out o' th' field .","I'll write how , under his flag and with his well-paid troops , we have beaten the formerly unvanquished Parthia ."
Where is he now ?,Where's Antony now ?
"What , are the brothers parted ?",Did the brothers-in-law leave ?
They have dispatched with Pompey ; he is gone .,"They finished their business with Pompey , and Pompey has left ."
Octavia weeps To part from Rome .,Octavia weeps at the thought of leaving Rome .
"Caesar is sad , and Lepidus , Since Pompey's feast , as Menas says , is troubled With the greensickness .",Caesar is in a sober mood .
A very fine one .,He's a stylish man .
"Oh , how he loves Caesar !",And how he loves Caesar !
"Nay , but how dearly he adores Mark Antony !","Yes , but how he adores Mark Antony !"
Caesar ?,Caesar ?
What's Antony ?,Then what's Antony ?
The god of Jupiter .,A god of a god ?
Spake you of Caesar ?,Are you talking about Caesar ?
"How , the nonpareil !",He's without equal !
"O Antony , O thou Arabian bird !","Oh , Antony !"
"Would you praise Caesar , say ""Caesar."" Go no further .","Oh , you If you want to praise Caesar , just say his name , that's all the praise that's necessary ."
"Indeed , he plied them both with excellent praises .",He certainly flattered them both with extravagant compliments .
But he loves Caesar best ; yet he loves Antony .,"He loves Caesar best , but he also loves Antony ."
Hoo !,Oh !
"Hearts , tongues , figures , scribes , bards , poets , can not Think , speak , cast , write , sing , number , hoo ! , His love to Antony .","Hearts can not think it , tongues can not speak it , meas-urements can not calculate it , scribes can not write it , bards can not sing it , and poets can not make verses about it ."
Both he loves .,He loves them both .
"They are his shards , and he","They are his dung , and he their beetle ."
"So , This is to horse .","So , there's the signal to ride ."
"Adieu , noble Agrippa .","Good-bye , noble Agrippa ."
"Good fortune , worthy soldier , and farewell .","Good luck , worthy soldier , and good-bye ."
"No further , sir .","You can't go any further with us , sir ."
"For better might we Have loved without this mean , if on both parts This be not cherished .","If you and I don't value her equally , it would be better for us to work out our differences without her ."
Make me not offended In your distrust .,Don't insult me with your distrust .
I have said .,I mean what I say .
"You shall not find , Though you be therein curious , the least cause For what you seem to fear .","You won't find any cause for anxiety , even if you look for one ."
So the gods keep you And make the hearts of Romans serve your ends .,"So , may the gods protect you and change the hearts of the Romans so that they turn and give you their support ."
We will here part .,We'll leave you here .
"Farewell , my dearest sister , fare thee well .","Good-bye , my dearest sister , good-bye ."
The elements be kind to thee and make Thy spirits all of comfort !,I hope you have good weather to set your mind at ease .
Fare thee well .,Farewell .
My noble brother !,My noble brother !
"The April's in her eyes ; it is love's spring , And these the showers to bring it on .",Her eyes are like April : full of showers .
"What , Octavia ?","What is it , Octavia ?"
I'll tell you in your ear .,I'll tell you privately .
"Look , here I have you .","See , now I have you ."
Thus I let you go And give you to the gods .,And thus I let you go and give you to the gods .
Adieu .,Good-bye .
Be happy .,Be happy .
"Farewell , farewell .","Farewell , farewell ."
Farewell .,Farewell .
E'en as the o'erflowing Nilus presageth famine .,"Like the Oh stop it , you lusty bed-hopper ."
"Go , you wild bedfellow , you can not soothsay .",You can't see the future .
"Nay , if an oily palm be not a fruitful prognostication , I can not scratch mine ear. , Prithee , tell her but a workaday fortune .","Well , if a moist palm isn't a clear sign of promiscuity , then I can't scratch my own ear ."
Your fortunes are alike .,Your fortunes are the same .
"But how , but how ?",But how ?
Give me particulars .,Give me details .
I have said .,I've said what I have to say .
Am I not an inch of fortune better than she ?,Isn't my fortune just a little better than hers ?
"Well , if you were but an inch of fortune better than I , where would you choose it ?","Well , if you could have just an inch of better fortune than me , where would you like the improvement ?"
Not in my husband's nose .,Not in my husband's nose .
Our worser thoughts heavens mend .,May heaven save us from indecent thoughts !
Alexas !,Alexas !
"For , as it is a heartbreaking to see a handsome man loose-wived , so it is a deadly sorrow to behold a foul knave uncuckolded .","If it's sad to see a handsome man with a cheating wife , it's a tragedy to see an ugly thug with a wife who's faithful ."
"Therefore , dear Isis , keep decorum , and fortune him accordingly .","Therefore , dear Isis , do the right thing and give him the fortune he deserves ."
Where is the fellow ?,Where is that messenger ?
Half afeard to come .,He's afraid to come in .
"Go to , go to. , Come hither , sir .","Oh , come on. , Come here , sir ."
"Good majesty , Herod of Jewry dare not look upon you But when you are well pleased .","Gracious Queen , even Herod of Judea wouldn't dare look at you unless you were in a good mood ."
That Herod's head I'll have !,I'll have Herod's head chopped off !
Most gracious majesty !,Most formidable Queen !
Didst thou behold Octavia ?,Did you see Octavia ?
"Ay , dread Queen .","Yes , revered Queen ."
Where ?,Where ?
"Madam , in Rome .","In Rome , Madam ."
"I looked her in the face , and saw her led Between her brother and Mark Antony .",I saw her face as she walked with her brother and Mark Antony .
Is she as tall as me ?,Is she as tall as I am ?
"She is not , madam .","She is not , madam ."
Didst hear her speak ?,Did you hear her speak ?
Is she shrill-tongued or low ?,Is her voice pitched high or low ?
"Madam , I heard her speak .","Madam , I heard her speak ."
She is low-voiced .,She has a low-pitched voice .
That's not so good .,That's not in her favor .
He can not like her long .,He can't like her very long .
Like her ?,Like her ?
"O Isis , 'tis impossible .","Oh , Isis , that's impossible ."
"I think so , Charmian .","You're right , Charmian ."
She creeps .,She creeps along .
"She shows a body rather than a life , A statue than a breather .","She has a body , not a life ."
Is this certain ?,Is this true ?
Or I have no observance .,"If not , then I have no powers of observation ."
Three in Egypt Can not make better note .,There aren't three people in all of Egypt who could do better .
There's nothing in her yet .,She doesn't have anything going for her so far .
The fellow has good judgment .,This messenger is wise .
Excellent .,Very wise .
"Charmian , hark .","Do you hear that , Charmian ?"
And I do think she's thirty .,And I think she's at least thirty .
Bear'st thou her face in mind ?,Do you remember her face ?
Is 't long or round ?,Was it long or round ?
"Round , even to faultiness .",Round enough to be unattractive .
"For the most part , too , they are foolish that are so .",Usually that means a person is foolish .
"Her hair , what color ?",What color is her hair ?
"Brown , madam , and her forehead As low as she would wish it .","Brown , madam , and she wouldn't want her forehead to be any lower ."
Thou must not take my former sharpness ill .,You mustn't hold my earlier outburst against me .
I will employ thee back again ; I find thee Most fit for business .,I'll hire you again to go back to Rome .
Go make thee ready ; Our letters are prepared .,My letters are ready to go .
A proper man .,He's an admirable man .
"Indeed , he is so .",He certainly is .
I repent me much That so I harried him .,I'm very sorry I was so hard on him .
"Nothing , madam .","Not a bit , madam ."
All may be well enough .,Everything may still be all right .
"I warrant you , madam .","I assure you it is , madam ."
"O my good lord , Believe not all , or , if you must believe , Stomach not all .","Oh , dear husband , don't believe everything you hear , or if you must believe it , don't let it all make you angry ."
"A more unhappy lady , If this division chance , ne'er stood between , Praying for both parts .",No lady could be more miserable than I if you two disagree .
"Gentle Octavia , Let your best love draw to that point which seeks Best to preserve it .","Gentle Octavia , support the one that supports you ."
"The meantime , lady , I'll raise the preparation of a war Shall stain your brother .","In the meantime , I'll raise an army that will surpass his ."
"The Jove of power make me most weak , most weak , Your reconciler !","May the god of power make me , the weakest of the weak , your mediator ."
"When it appears to you where this begins , Turn your displeasure that way , for our faults Can never be so equal that your love Can equally move with them .","When you find out who started this disagreement , turn your anger upon them ."
Provide your going ; Choose your own company and command what cost Your heart has mind to .,Order supplies for your trip and choose your traveling companions .
"How now , friend Eros !","How goes it , friend Eros ?"
"There's strange news come , sir .","Some startling news has just arrived , sir ."
"What , man ?","What news , man ?"
Caesar and Lepidus have made wars upon Pompey .,Caesar and Lepidus declared war against Pompey .
This is old .,That's old news .
What is the success ?,Who's winning ?
"So the poor third is up , till death enlarge his confine .",So the weak third of the triumvirate is imprisoned until death frees him .
"Then , world , thou hast a pair of chaps , no more , And throw between them all the food thou hast , They'll grind the one the other .","And even if you throw everything you possess to the two of them , they'll battle each other to the death to have it all ."
"When Nature hath made a fair creature , may she not by Fortune fall into the fire ?","Well , when Nature makes a person beautiful , can't Fortune make her fall into a fire , thereby making her ugly after all ?"
"Though Nature hath given us wit to flout at Fortune , hath not Fortune sent in this fool to cut off the argument ?","And even though Nature has given us the wit to have this argument , hasn't Fortune sent this fool here to stop us ?"
"Come , come , you are a fool , And turned into the extremity of love .","Come on , you're a fool , and driven to extreme measures by love ."
I say she never did invent this letter .,The point is that she didn't write this letter .
"This is a man's invention , and his hand .","These are a man's words , and his handwriting ."
Sure it is hers .,"I'm telling you , it's hers ."
I will go seek the king .,I'll go tell the king about this .
"This is the very ecstasy of love , Whose violent property fordoes itself And leads the will to desperate undertakings As oft as any passion under heaven That does afflict our natures .","Love is such a violent emotion that it makes people self-destruct , as much as any strong emotion ."
I am sorry .,I'm so sorry .
That hath made him mad .,That's what made him crazy .
I am sorry that with better heed and judgment I had not quoted him .,I regret not observing him more closely before I told you to do that .
I feared he did but trifle And meant to wreck thee .,I thought he was just toying with you and meant to ruin your reputation .
But beshrew my jealousy !,Damn my suspicious thoughts !
"By heaven , it is as proper to our age To cast beyond ourselves in our opinions As it is common for the younger sort To lack discretion .",It's as common for us old people to assume we know more than we do as for young people to be too wild and crazy .
"Come , go we to the king .","Come on , let's go see the king ."
"Welcome , dear Rosencrantz and Guildenstern .","Welcome , dear Rosencrantz and Guildenstern ."
"Moreover that we much did long to see you , The need we have to use you did provoke Our hasty sending .","I've wanted to see you for a long time now , but I sent for you so hastily because I need your help right away ."
"Something have you heard Of Hamlet's ""transformation"" , so call it Since nor th ' exterior nor the inward man Resembles that it was .","You've probably heard about the ""change"" that's come over Hamlet , that's the only word for it , since inside and out he's different from what he was before ."
"What it should be , More than his father's death , that thus hath put him So much from th ' understanding of himself , I can not dream of .","I can't imagine what's made him so unlike himself , other than his father's death ."
"Both your majesties Might , by the sovereign power you have of us , Put your dread pleasures more into command Than to entreaty .","Both you and the king might have ordered us to execute your command , instead of asking us so politely ."
"But we both obey And here give up ourselves , in the full bent , To lay our service freely at your feet To be commanded .",But we'll obey .
"Thanks , Rosencrantz and gentle Guildenstern .","Thanks , Rosencrantz and worthy Guildenstern ."
"Thanks , Guildenstern and gentle Rosencrantz .","Thanks , Guildenstern and worthy Rosencrantz ."
And I beseech you instantly to visit My too much changed son .,"I beg you to pay a visit right away to my son , who's changed too much ."
"Go , some of you , And bring these gentlemen where Hamlet is .","Servants , take these gentlemen to see Hamlet ."
Heavens make our presence and our practices Pleasant and helpful to him !,I hope to God we can make him happy and do him some good !
"Ay , amen !",Amen to that !
"Th ' ambassadors from Norway , my good lord , Are joyfully returned .","The ambassadors are back from Norway , sir ."
Thou still hast been the father of good news .,Once again you bring good news .
"Have I , my lord ?","Do I , sir ?"
"I assure my good liege , I hold my duty as I hold my soul , Both to my God and to my gracious king .",I assure your majesty I'm only doing my duty both to my God and my good king .
